genes,GSM399666,GSM399667,GSM399669,GSM399676,GSM399679,GSM399682,GSM399685,GSM399689,GSM399717,GSM399718,GSM399719,GSM399761,GSM399762,GSM399763,GSM399765,GSM399766
HCFC1,4.488516286,4.338919217,4.268371037,4.343325462,4.109982013,4.312822036,4.310972641,4.39576339,4.352402544,4.274284541,4.267060416,4.184361372,4.202307315,4.196935414,4.145386867,4.355217455
HCFC1R1,5.161152062,5.21663375,5.421854268,5.433702919,5.034704275,5.128244787,5.010176122,5.308979979,5.042831117,5.029226099,4.847627181,4.870614907,4.966076832,5.018171229,5.071813207,4.95041582
HCFC2,3.765075779,3.323275801,3.575429126,3.490953122,3.763813777,3.485151485,3.016909324,3.750871818,3.536614681,3.71662999,3.479224418,3.632390677,3.513476441,3.490105515,3.583471917,3.559022012
HCG11,2.836116998,2.290169151,2.533174031,2.356062072,2.575174683,2.662982934,2.493605641,2.02991006,2.699907518,3.109100282,3.402655556,2.483637714,2.74396316,3.132892812,2.974392074,2.07511236
HCG18,4.176422668,4.036085902,3.766780959,3.511308027,3.924023931,3.676071079,3.894845265,3.916906828,3.968165573,4.288676963,3.951076609,3.979317954,4.105518747,3.987743641,4.499492314,3.793433019
HCG22,4.276442889,4.438704146,4.306149701,4.356959183,4.421284058,4.490536667,4.497898144,4.778546449,4.650027976,4.258832971,4.381136629,4.440183145,4.527425358,4.260361602,4.542684028,4.378880899
HCG26,5.546464721,5.356275509,4.900755025,5.500335896,5.629702096,5.352385694,5.905603588,4.558978734,5.384646146,5.27061324,4.912227553,5.918257838,4.50599829,6.108095748,5.140688513,5.988648462
HCG27,9.061401419,8.588936395,8.77547202,8.293319199,8.539011598,8.977452865,9.085706626,8.345185918,8.380051433,7.89213114,8.30058809,8.866201596,8.733604569,8.666543084,8.018979898,9.256323875
HCG4,1.58881503,2.101804683,2.094220084,1.932217511,1.637148336,1.526489659,1.581036091,1.8224415,1.833971543,1.589864755,1.483621741,1.665787698,1.78910443,1.932217511,2.056508198,1.551683122
HCG4B,2.207816041,1.87260052,2.110139054,1.709722856,1.772917825,1.72846881,2.025326913,1.981345447,1.845534151,1.431394755,1.711780644,1.531967601,2.197325852,1.741123816,2.043983103,1.597767121
HCG9,3.343536015,3.608713848,3.546748973,2.929328067,3.451493531,3.282706405,3.682281344,3.512211889,3.601250103,3.016069506,3.31759718,3.06010006,3.193696617,3.25808875,3.119203259,3.5764825
HCK,10.18535753,10.00800336,10.36243523,10.7202383,10.28075527,10.38115012,10.76506894,9.854868714,10.56531046,10.39809654,10.40590455,10.01245754,9.952984742,10.10399974,9.541824234,9.972836053
HCLS1,11.38133492,10.96550389,11.16962592,11.26094221,11.07980526,11.24286407,11.34862525,10.7092683,11.14385409,11.2086245,11.12746164,11.05349241,11.07821619,11.34453687,10.94131139,11.07247956
HCN1,2.588659764,2.403457761,2.264525206,2.864279293,2.346780664,2.364414327,2.475785664,2.623452484,2.501696565,1.97364396,2.230059653,2.249281812,2.485474862,2.28639516,2.193974393,2.300045898
HCN2,3.167523451,3.409669271,3.327960272,2.699731854,3.305616778,3.348680581,3.089179411,3.017686193,3.307454341,2.962743774,3.072402652,3.203746487,3.035161079,3.204750246,3.169549613,3.114084301
HCN3,3.948253598,4.103743613,3.833975716,3.971611917,3.874284783,3.91841709,4.262850062,4.453796369,4.043485119,4.027077464,3.856257252,4.120517364,4.303051367,3.632239104,4.045200786,4.175930194
HCN4,3.43275269,3.669865108,4.019797377,3.536697391,3.535583452,3.505195737,3.718073049,3.83498877,3.819370413,3.418573885,3.513587382,3.493270483,3.838717407,3.42726968,3.700539487,3.910059476
HCP5,7.548297196,7.919853095,7.817829987,7.105020246,7.413997362,7.49583639,7.373289109,6.521319757,7.636828957,7.795128107,7.545931425,7.396703881,7.534719196,7.284675065,7.527264715,7.578974097
HCP5B,3.417060238,3.879181756,2.957659698,3.297677336,3.705471887,3.17169197,3.446628246,3.571167486,3.344409195,3.097822286,3.601006282,2.94256739,3.344656064,2.929103929,3.183827191,3.136227777
HCRT,2.717608817,2.944706592,3.168575673,2.706506984,2.95346294,3.011434918,2.748027019,2.903680423,3.658676412,2.970892302,2.898800357,2.722782366,2.411757767,2.656280647,2.708806438,2.619243428
HCRTR1,1.780557463,1.945197821,1.761768093,2.019410707,2.004701637,2.084337425,1.870363573,2.088391375,1.775837799,2.044660721,2.01465162,2.224552573,2.338014634,1.757643366,1.730644972,2.154009097
HCRTR2,2.792679495,3.047225088,2.800298607,2.71667643,2.562783144,2.910430727,3.226670129,3.367823725,3.035694581,2.579228824,2.994040114,3.140794562,2.76420726,2.867070428,2.898059977,2.975331949
HCST,8.21956514,8.070345995,7.903075928,7.301454308,6.458493703,7.682638838,7.309556793,7.752332018,7.49399545,8.097134089,7.908061282,7.538482211,7.46910459,7.714045684,8.185957698,7.769844566
HDAC1,8.420364084,7.881977886,7.914495996,8.005343086,7.72063423,7.820064207,7.803548977,7.523947312,7.881303325,8.007134876,8.015338802,8.022687914,7.648436703,8.028480025,8.028735096,8.248566159
HDAC10,4.298980431,4.213925724,4.402849861,4.248480242,4.262220682,4.30345677,4.537115493,4.269742188,4.531944387,4.231908672,4.150295059,4.464653329,4.214489278,4.237116513,4.795625436,4.305829231
HDAC11,3.573831331,3.46689433,3.643775659,3.378134202,3.656698542,3.388448436,3.820947692,3.906340979,3.689151954,3.508330182,3.381784537,3.608669926,3.582378693,3.42596191,3.539896505,3.463337628
HDAC2,4.434013728,4.38492483,4.38544339,4.718446332,4.490496853,4.40526343,4.463265202,4.792124559,4.56430682,4.558052409,4.434655635,4.365057657,4.411954723,4.474692129,4.5360326,4.412584476
HDAC2-AS2,1.778735657,1.946570275,2.012279386,1.846081908,2.282994668,2.961013395,1.884400478,1.984888845,2.137917103,1.846081908,1.891785545,1.915485376,1.876969743,1.379874697,1.915485376,1.67157339
HDAC3,6.656275728,6.191605038,6.219294866,6.346109153,6.296566944,6.291664865,6.331902167,6.21424616,6.38895892,6.429697066,6.396666711,6.39125289,6.248333447,6.276942649,6.597944627,6.428224748
HDAC4,5.257608342,5.630578465,5.528420268,5.267742325,5.336946041,5.063671428,5.583790192,5.655117343,5.557678299,5.417117418,5.259283345,5.383174861,4.990719987,5.190278648,5.194395323,5.284112295
HDAC4-AS1,3.446988716,3.712534171,3.655735537,3.452395226,3.219548675,3.542975873,3.40325422,4.028196425,3.828001471,3.53140261,3.237174529,3.572319831,3.467411105,3.376201672,3.542975873,3.437700772
HDAC5,5.224351904,5.482569773,5.357718548,5.444927626,5.292305879,5.210701437,5.625896054,5.479935859,5.2685705,5.441523381,5.105371635,5.339212331,5.368257867,5.078392218,5.151204012,5.128596937
HDAC6,4.162928568,4.172727706,4.143756361,4.148976509,3.685964804,3.858844485,4.01441204,4.008868765,4.112603013,4.103446625,3.859340544,4.062719249,3.847511827,4.05895795,4.031275717,4.03334752
HDAC7,4.013105708,3.92123261,4.027828316,4.125967748,3.982302186,3.965042094,4.217797058,3.688954818,4.260614419,3.987917484,3.978336798,4.000567343,4.141775041,4.021592114,3.74424361,4.098215006
HDAC8,3.473951115,3.439288997,3.382817964,3.540283836,3.669773079,3.320244105,3.159181671,3.089580062,3.450818035,3.409769525,3.334679835,3.248595263,3.50283353,3.324307103,3.954751435,3.392388694
HDAC9,3.067537233,2.824452511,3.031908651,2.860393422,3.112825772,2.987420822,3.133192488,3.336354189,2.990777043,3.184102555,3.165445902,2.727277918,2.881085295,2.765953884,2.966869953,2.941571753
HDC,5.885649535,4.029952472,3.868878381,5.078561069,5.525363445,4.869884814,4.206968182,5.45282025,5.654570868,6.285375701,4.102334157,5.374563947,5.586429236,5.329472889,4.08596619,4.88955544
HDDC2,5.07557122,4.734542339,4.56644788,4.514968004,4.26118368,4.194074402,4.144589906,4.574632009,4.603693239,4.65087316,4.778891125,4.695634291,4.916004964,4.865025284,5.241124054,5.16657938
HDDC3,5.793996101,6.107608192,6.139939349,5.923457501,5.865023984,5.658613114,5.554154257,6.032864975,5.969791131,5.955598446,5.859194951,5.795442589,5.910896618,5.79047427,5.883673859,5.861172243
HDGF,7.050494512,6.970521118,7.225310792,7.395578971,7.070803298,7.230532948,7.408709283,7.269022856,6.823824348,7.039241935,6.937032114,7.233652237,6.94636664,7.108648985,7.095003085,7.307362747
HDGFL1,4.35242821,4.503190809,4.420974044,4.609501139,4.513133372,4.840237776,4.853771898,5.117290316,4.291155389,4.173917125,4.192261865,4.672424611,4.4915959,4.190798145,4.650773458,4.17518224
HDGFL2,6.080253209,6.012940585,6.100850596,6.039066499,5.979084539,5.477814978,6.142303951,5.973884812,6.364590494,6.298097706,5.97484293,5.950571452,6.181427507,5.985530592,6.002756039,6.189800611
HDGFL3,3.789442511,3.640953586,3.75886393,3.824801766,3.622902486,3.797764194,3.766349654,3.865721782,3.675962132,3.839869918,3.850885681,3.43977403,3.806063557,3.658936586,3.491435964,3.468540335
HDHD2,7.23429315,6.77939974,6.991430028,7.303426718,7.039941431,7.010375083,6.730272944,7.211465789,7.094607353,7.257377605,7.159765308,7.313990312,7.171823916,7.223972643,7.493862917,7.189583006
HDHD3,4.336039963,4.557583857,4.146778276,4.205137479,4.063755333,3.744601166,3.349608656,4.032222178,4.386999741,4.993757841,3.12287905,3.790599222,4.09338263,3.788796486,3.865869063,4.160526052
HDHD5,6.2941599,6.250933563,6.137492706,6.585696055,6.136550556,6.011445121,5.996461578,6.048549919,6.154063321,6.137130164,6.186839719,6.077858762,5.798437777,5.918376052,6.36176964,6.301535626
HDHD5-AS1,2.242110865,2.12546187,2.251863909,2.292653619,2.119622779,2.489600631,2.490478819,1.999974121,2.423434142,2.441757,2.405628413,2.005578603,2.415900647,2.281235936,1.913770395,1.874118977
HDLBP,4.716754271,4.73314756,4.639569881,4.628874842,4.863605981,4.805504164,4.955953105,4.582137066,4.771388053,4.736818814,4.621031425,4.572693127,4.616600988,4.414740117,4.470100251,4.529970535
HDX,1.506750896,1.734305619,1.272298379,1.210908922,1.504438361,1.506750896,1.130373896,1.244754517,1.596945168,1.389392787,1.38494512,1.389392787,1.271301362,1.056917396,1.51914743,1.374698919
