genes,GSM399666,GSM399667,GSM399669,GSM399676,GSM399679,GSM399682,GSM399685,GSM399689,GSM399717,GSM399718,GSM399719,GSM399761,GSM399762,GSM399763,GSM399765,GSM399766
NUBPL,2.220144804,2.143952409,2.170526451,2.003658952,2.154115013,2.207357509,1.82413797,2.351138075,2.323923457,2.823171331,2.447377264,2.529550104,2.426954312,2.48287649,2.349454858,2.483201946
NUCB1,5.459815795,6.278106653,5.513726158,5.311558554,5.184244582,5.206952122,5.625031491,4.789939032,5.203981213,5.103133065,4.940909499,4.860800833,4.901810723,4.909019787,5.267094612,5.366781811
NUCB2,5.136635758,5.208384778,4.866113415,5.446226258,5.182295577,5.404887152,4.752563496,4.739118961,5.288385337,5.153050982,5.048710398,5.336151605,5.132905049,5.118612818,5.478098389,5.265223724
NUCKS1,6.995352807,6.245488882,6.634197701,6.518563125,6.234478943,6.455932424,6.170980893,6.034968516,6.503979941,6.684422124,6.615176647,6.317427075,6.510019512,6.409172042,6.790664752,6.038152207
NUDC,5.065606746,5.077014008,5.242182783,4.978824278,4.913607955,4.886305171,4.800677671,4.91102231,4.91091119,5.033307082,4.87007913,4.872086352,4.962357837,4.916215481,5.061964603,5.106648838
NUDCD1,3.227363546,3.181802986,3.302388042,2.803067649,3.307746933,3.0396224,3.039407792,3.206101408,3.407163293,3.304507542,3.401648836,3.089377984,3.295857262,2.986771031,3.158114376,3.053153289
NUDCD2,4.841085139,4.941069005,4.983199725,4.933905504,4.880024205,4.631429879,4.477568957,5.179873611,4.630986108,5.020987955,5.212434069,4.999719115,4.499924272,4.50439538,4.758922686,4.426709575
NUDCD3,4.109398781,3.927870336,3.95063682,3.797865889,3.917065138,3.847330546,3.874383241,3.991540325,4.017131429,4.073352125,3.836409243,3.84596767,3.88661375,3.757208129,3.88456939,4.137149383
NUDT1,4.825101153,5.119549599,5.395065047,4.56974441,4.76447486,4.733968459,4.670423854,4.622321413,4.986687639,4.633250334,4.881254559,4.946511797,4.95440087,4.825223498,4.895365837,5.205146368
NUDT10,2.302062486,2.889608612,2.577479327,2.308047038,2.525555289,2.562962361,2.532122675,2.24695414,2.636375261,2.571908122,2.470118746,2.331334666,2.645970813,2.620173728,2.448969978,2.7674579
NUDT11,2.521306174,2.157015202,2.601493697,2.393012858,2.910430727,2.300583832,2.502137659,2.564307456,2.43001246,2.513870106,2.515065626,2.137614149,2.304003382,2.359868198,2.108814189,2.551194213
NUDT12,1.167745025,1.120355147,1.327966579,1.285748719,1.236408075,1.260711459,1.18762249,1.285837958,1.138879993,1.35427181,1.499752165,1.125191789,1.074127562,1.219391213,1.152839507,0.941910375
NUDT13,2.244807295,2.529093262,2.66382032,2.747393952,2.80505464,2.76176303,2.8221161,2.618229012,3.032885805,2.694632691,2.562206337,2.760356987,2.648789637,2.70937172,2.398550639,2.70354164
NUDT14,2.960328235,2.74306058,3.163108918,3.474830111,3.124513635,2.829069797,2.972267579,3.113350247,2.772715089,2.86134489,3.141083951,2.81581265,2.673398568,2.904275206,2.87096343,2.937940182
NUDT15,4.80988134,4.901746338,4.989260832,4.706603783,4.960215996,4.776032163,4.696558131,5.044188213,4.876620958,4.897607978,4.950661437,4.789125876,5.230200043,4.766362082,5.404029112,4.672245501
NUDT16,4.462117991,4.559377636,4.443224595,4.531916762,4.29230558,4.432989939,4.379228768,4.488980948,4.697928243,4.296254258,4.094481216,4.418658362,4.26109553,4.371980117,4.27726102,4.257293583
NUDT16-DT,2.052007399,2.06423204,1.818755297,2.124649367,1.9097343,2.034426995,2.005218825,2.022779458,2.317960269,1.768064792,1.833282972,1.989592592,2.067453796,2.188711283,1.700494714,1.960839538
NUDT16L1,5.409352254,5.213070259,5.408067604,5.142220401,5.01887108,5.239882696,4.93061577,5.316917749,5.184322958,5.432947487,5.417940375,5.380021061,5.147988698,4.765499052,5.09580869,5.216683662
NUDT16L2P,4.498474447,4.255663165,4.447213371,4.956191279,4.397826372,5.103771282,3.64383504,4.52898309,5.183479756,4.112401044,3.717070575,3.929601628,4.51058722,4.27049127,4.282588064,3.970154339
NUDT17,4.244027173,4.016986581,4.090779042,4.182321939,4.248277665,4.038821577,4.071196004,4.286059013,4.271299929,4.158042997,4.220722096,3.643437676,4.016142011,4.151196943,3.933766822,3.843374272
NUDT18,4.938402248,4.901138415,4.776464124,4.93026938,4.617402584,4.897012176,4.648152628,4.658176551,4.868980214,4.664953246,4.693412178,4.08654513,4.404884989,4.408469187,4.739101817,4.404891977
NUDT19,7.340253445,7.097924657,7.487333794,7.624624231,7.543829565,7.299425077,6.89366178,6.962237239,6.961111075,7.189220631,7.012256626,6.869989374,6.800314539,6.60740991,7.211863257,6.161351569
NUDT2,5.534893071,5.355484359,5.8684849,5.707338285,5.70682586,5.513868329,4.624714839,5.775283837,4.938029151,5.839729975,5.350455686,5.694847457,5.758526161,5.694046782,6.391027567,5.264978682
NUDT21,6.109260052,6.159177364,6.308853397,6.26109195,6.101112725,6.132864389,5.759825024,6.141381075,6.10731337,5.989576481,6.264285222,6.630653347,6.161617395,6.097710655,6.26306301,5.620854231
NUDT22,5.093181286,5.504472071,5.096814658,5.105468881,5.114950295,4.909360721,5.012967754,5.034380931,5.375139787,5.107427844,4.929683456,4.797789768,4.715486028,4.979282906,5.061138549,4.751832508
NUDT3,5.186441552,4.705658441,4.853080403,5.161770832,5.171919038,5.225638244,5.042229856,4.912535284,5.347274865,5.273799021,4.931730514,4.817595866,5.025819602,5.332901595,5.080588104,5.59883439
NUDT4,3.953023398,4.127401701,4.141641491,4.080598584,4.343909429,4.150565698,4.02015038,4.181422254,4.239000035,4.367557151,4.242676653,4.204418939,4.058090589,4.028998418,4.03572463,4.160794022
NUDT5,6.985218735,6.328290755,6.535062443,6.560567166,6.536163304,7.276721434,6.66861406,6.888584271,6.991509894,6.747832598,6.935884803,7.04761946,6.816475002,7.15524197,6.80219331,6.56480612
NUDT6,3.212871462,3.264785312,2.897839998,2.797340448,3.028434315,2.812602953,2.929856412,3.082402557,3.103568391,2.801163761,2.988365427,2.894592382,3.016822522,2.93192054,3.479794685,2.687322341
NUDT7,4.576212312,4.247946081,4.480691131,4.658762687,4.515512649,4.213198617,4.227984524,4.74098481,4.377894057,4.2783213,4.267997617,4.463647361,4.318027294,4.200933387,4.561121694,4.117148052
NUDT9,5.920815022,5.576969284,5.835367523,5.514142781,5.65611283,5.517243971,5.316365543,5.773063822,5.915102904,5.854557953,5.720944877,5.911280262,5.603261984,5.138560875,6.049427324,5.481357868
NUDT9P1,1.471829282,1.72961672,1.23900592,1.106971409,1.533721167,1.28196232,1.413862941,1.102376165,1.480268217,1.292057165,1.102376165,1.174562771,1.380727202,1.424698766,1.369616637,1.979150999
NUF2,1.393320549,2.301211494,1.829778896,1.879148097,1.796686083,2.180115914,1.46352478,2.224434209,1.780902129,1.646756431,1.807944171,1.761742201,1.930497839,1.715453511,2.620150492,2.441891517
NUFIP1,3.718152685,3.44981785,3.407457231,3.487753933,3.609477296,3.35620833,3.408653805,3.776161524,3.416118847,3.475620491,3.544551555,3.472354848,3.644103581,3.295445122,3.795383632,3.366272274
NUFIP2,6.840505107,6.573163143,6.698542142,6.81879885,6.856485497,6.937237082,6.887357979,7.048619666,6.967332448,6.921726089,6.765762162,7.009412395,6.892947905,7.234560458,6.893384667,6.935170187
NUMA1,3.928221879,3.387593015,3.297534004,3.741730205,3.393571513,3.970339771,3.330082946,3.337464385,3.35963932,3.548718715,3.782689686,3.73437804,3.767542281,3.451764505,3.974222726,4.053080206
NUMB,6.805585548,6.981411156,7.136991764,7.396522125,6.876862172,7.339161704,7.771634103,7.321307625,7.386445732,7.065007485,6.975088213,7.594193672,7.722729194,7.728337619,7.125717338,7.208550242
NUMBL,5.446757223,5.237678767,5.384181216,5.206750663,5.382753911,5.37387025,5.643697156,5.477047875,5.304641925,5.728971549,5.601778305,5.492349425,5.641319585,5.491151794,5.926083766,5.665680159
NUP107,6.514530805,6.138577445,5.956007596,5.89754515,6.003492735,5.972694612,5.601490945,5.858738518,6.138229757,6.636284798,6.068154852,6.034454667,6.290907137,6.370251725,6.314461998,6.313558417
NUP133,4.133370469,3.986257606,3.922637136,4.114899426,3.874837186,3.851504166,3.857274337,3.963829029,4.186907148,4.231418079,3.980558909,4.029207469,3.738731097,3.944296276,3.84168029,4.244801582
NUP153,5.012447418,4.811747807,4.92785169,4.796285664,4.756946246,5.180759824,5.772720313,5.079141354,4.897221106,5.324914822,5.044876352,5.383429993,5.267204368,5.482417562,5.260720959,5.20765772
NUP155,4.397396394,4.670367105,4.018032705,4.064520325,4.564382663,4.541828181,4.160122993,4.444871048,4.313535419,5.419499272,5.197134023,4.456000582,4.542648417,4.725526149,4.492169549,4.571064272
NUP160,3.594871064,3.070512146,3.661187727,3.273645641,3.128277675,3.429763199,3.053770516,3.31975767,3.528771437,3.288037118,3.544912026,3.799543766,3.672756254,3.494960672,3.671737167,3.623636716
NUP188,4.391574622,4.695100046,4.438428379,4.487405353,4.435190677,4.383109666,4.469736799,4.393747014,4.687768922,4.471701813,4.379891701,4.371306608,4.306122249,4.278192245,4.366807304,4.421181702
NUP205,4.638670122,4.6319895,4.178365783,4.00591257,4.275905644,4.19847744,4.216751827,4.276108802,4.298140145,4.541409307,4.358417104,4.401554443,4.20415244,4.219544226,4.562379792,4.389907915
NUP210,6.15484894,5.74320411,5.535423356,5.796672462,5.643895565,5.392404294,5.844736642,5.454915791,5.820861396,6.292504757,5.895987252,5.732348085,5.49304759,5.716299624,6.043984465,5.895260706
NUP210L,1.706090513,2.00541687,1.760541337,2.173403726,1.906350602,1.808647821,1.756500509,2.190835451,1.823557793,1.754796532,1.746117748,1.598344223,1.790887407,1.772910715,1.49210121,1.34123264
NUP210P1,1.920200692,2.041132671,2.133571568,1.928149559,1.606617337,2.031999468,2.154745829,2.083162066,2.39194836,1.809722494,1.819803668,1.624843863,2.040696994,1.843029813,1.946923854,1.984155837
NUP214,5.991471075,6.60130561,6.430589749,6.315917506,6.169976943,6.340461818,6.451164616,6.686990843,6.390060011,5.866832763,6.142109602,6.363639469,6.337653133,6.333364581,6.055429365,6.301546384
NUP35,3.780293871,3.150105486,3.701395667,3.317132583,3.598126062,3.817514425,3.339479193,3.984252391,3.668420792,3.886876752,4.149783455,4.019913617,3.807905167,3.538348829,4.33489071,3.69196613
NUP37,5.024497041,5.31861692,5.171224499,5.224399647,5.162843401,4.964792604,4.608001455,4.884489663,5.133187236,4.868767018,4.99369853,5.10849052,5.095002091,5.059504431,5.373250173,4.849237204
NUP42,5.522964258,5.718163349,5.650021501,5.531802325,5.9722982,5.532903664,5.271073571,6.152097417,5.640976923,5.510784418,5.866205114,5.949063315,5.753816556,5.633232495,5.845977441,5.605461466
NUP43,5.413170027,5.143845111,5.304283942,4.987053594,5.132573933,5.254643418,5.23388606,4.783306948,5.693977952,5.931170876,5.691137875,5.534099725,5.415250297,5.505424026,5.688242132,5.396122385
NUP50,5.906219078,6.021017036,6.174530262,5.815166617,6.241474747,6.222280534,5.809648604,5.787073935,6.238218158,5.790680965,5.719796117,6.081684594,6.000680281,5.954617687,5.840093762,5.791752365
NUP50-DT,5.243994213,6.046254651,5.676363282,4.999105299,5.294802142,5.777706896,5.035572211,5.296288127,5.799281942,5.068284357,5.067697496,5.199023272,6.091582956,5.346094514,5.343171947,5.50474899
NUP54,2.859613638,2.833473177,2.900310562,2.949632522,2.927785107,2.796365327,2.723758627,2.881894675,2.818623251,3.249016441,3.108786596,2.78088938,3.094780319,3.04035496,2.976260871,3.067143508
NUP58,3.948318535,4.43029297,4.491342307,4.342939328,4.311905983,4.46381449,4.336953208,3.989290871,4.435367058,4.380337731,4.386343746,4.648494753,4.706088323,4.81370124,4.445931523,4.338168659
NUP62,4.680127481,4.422561622,4.623243368,3.991438084,4.17634676,4.12669088,4.396427261,3.91871863,4.278486855,4.404283912,4.447709724,4.212225148,4.207836472,4.040952852,4.334815932,4.346267161
NUP62CL,1.132464542,1.011732989,1.426989785,1.438016079,1.444967847,1.112216006,1.513788717,1.258432766,1.263809015,1.169912577,1.203066065,1.318687755,1.089647735,1.15238267,1.091801102,1.321338928
NUP85,6.297152779,6.052711966,5.900824191,5.878428673,6.356569796,5.920055603,5.974941631,5.719130448,6.03999662,6.371829132,6.429737104,5.852255646,5.953119881,6.040010143,6.177029029,6.088666839
NUP88,4.614259711,4.482032243,4.178837035,4.383701888,4.551796307,4.314891713,4.237824916,4.360954058,4.482639285,4.573792156,4.657559538,4.359780389,4.410099882,4.205607704,4.49534737,4.428639485
NUP93,3.894934312,4.122397058,3.941415055,4.012988133,4.358108103,3.952826103,3.890406601,4.065127041,4.065664495,3.920684301,4.012185971,3.909495492,4.056645749,3.945062905,4.018640449,4.439918675
NUP98,5.911329093,5.669685501,5.65783483,6.033785151,5.656335718,6.076435028,5.91604315,5.737802885,6.189640857,5.976940864,5.916711513,6.128515159,5.987233361,6.110926152,5.724412839,6.212996475
NUPR1,2.698012253,3.456492238,3.059221754,2.929328067,2.717117102,2.323352231,2.565829591,2.460635884,2.914343976,2.946314787,2.612665063,3.224154491,2.735089234,2.762792575,2.622941828,2.815955605
NUS1,5.913539216,5.890286329,5.865286539,5.933284092,6.420792256,5.817053839,5.846905704,5.902895299,5.983334328,6.213631842,6.026503898,5.861673947,6.017080449,5.775336854,6.131098723,5.525163356
NUS1P3,2.300349277,2.023023675,2.184405504,2.49929886,2.792310652,2.225411072,2.247450395,2.150523578,2.155449563,1.928050646,2.26162181,2.187459152,2.269718087,1.99333621,1.988232794,1.937815399
NUSAP1,4.003876532,5.177177216,5.439570209,4.408293292,5.396247006,5.107144846,4.000720135,3.997007795,4.273959795,3.935205628,3.679900904,4.191659671,4.368640318,3.576105576,4.318927484,4.036182413
NUTF2,5.798629846,6.11245623,6.072677814,5.883480063,6.176514423,5.798877038,5.876849165,5.845209989,4.286705164,5.926113851,5.953383038,5.502379399,5.701456792,5.640388436,5.770196645,5.511338891
NUTM1,3.940274203,4.111371448,3.840237025,3.87421615,3.919551884,4.08690861,4.195949553,3.893135455,4.184182782,3.708728937,3.816495697,3.868746364,3.668909806,3.632526845,3.94881938,3.596076824
NUTM2A-AS1,2.521306174,3.501343478,2.641869685,2.280465368,2.404452073,2.469405902,2.311775832,2.582834852,2.561249769,2.294548504,2.581106475,2.302123756,2.704581134,2.355315524,2.302123756,2.056582749
NUTM2B,5.04009836,5.073997631,5.255847442,5.063760906,4.781803371,4.812819981,4.698016731,4.804868057,5.102942805,4.925223688,4.787298901,5.099211614,4.700483369,4.959629052,5.046533898,5.194854612
NUTM2B-AS1,2.259626655,2.40995365,2.541755409,2.296342544,2.120602248,2.292341782,2.387542043,2.249390441,2.813247989,2.874486713,2.61809501,2.892313854,2.413485619,3.221796585,2.194602045,2.884859392
NUTM2F,5.020875112,5.284292809,5.206480093,5.223565725,5.062804924,5.107260386,5.037087215,4.98865128,5.16686905,4.852088292,4.764588301,4.970722241,4.979598985,4.911899836,4.890297048,4.98712623
NVL,4.414424992,4.585594865,4.675548367,4.366055011,4.667521674,4.477732562,4.38930414,4.336783258,4.619447215,4.725849318,4.517781029,4.929433323,4.442040477,4.553232218,4.819025757,4.860210648
NWD2,1.378220938,1.444602444,1.266857205,1.720480485,1.712608665,1.614209075,1.612594358,1.515941319,1.998147846,1.453569055,1.546922364,1.53115735,1.521292355,1.264259848,1.23029469,1.567815265
NXF1,8.024024987,7.363239364,7.564521643,7.564179234,7.457366627,7.504897348,7.804431615,7.502075988,7.750563137,7.96786176,7.64544747,7.632605683,7.397557627,7.858650953,7.636937647,8.272254859
NXF3,2.442849624,2.856575384,2.457419412,5.299307968,2.412402075,4.318684193,2.562882666,2.449027699,2.693182804,2.459104944,4.254106389,2.649610171,5.357931638,2.505457771,2.562468914,2.531905737
NXF5,3.251076279,3.395129318,2.818924155,3.991475647,3.288492496,3.270234333,3.316068197,3.372776398,3.234225862,3.221431514,2.830688612,3.304286444,3.125819265,3.173418543,2.945387866,3.395129318
NXNL1,4.946203459,5.448003655,4.988338676,5.291363774,5.109391897,5.124314403,4.898446425,4.936535862,5.030606642,4.801775579,4.830791567,4.431368966,4.892316867,4.830791567,4.83910676,4.719090994
NXNL2,1.348759408,1.056299597,1.303370798,1.294801664,1.243718024,1.336216158,1.473391034,1.35321732,1.339334912,1.217762859,1.131295227,1.319777052,1.344165025,1.418513543,1.352660414,1.452983019
NXPE1,2.191547922,2.418799734,2.090807971,2.191063898,2.256859246,2.395170353,2.260499818,2.442266117,2.496973182,2.154354107,2.13689432,2.208800689,2.130350352,2.099305503,2.362801312,2.510304312
NXPE3,4.340844377,4.618801943,4.554140473,4.748762181,4.694773253,4.656972319,4.135100705,3.912472069,4.378594927,4.762844353,4.78174314,4.70839592,4.626427161,4.305031034,4.630763848,3.91562291
NXPE4,2.220144804,2.326921224,2.466186966,2.46981485,2.362765545,2.160663997,2.432436,2.648244649,2.249680896,2.18028531,2.092030409,2.008599657,2.056428832,2.240796952,2.226100781,1.956595173
NXPH1,0.884525128,1.350512442,1.174113755,1.088623784,0.930339335,1.166406364,1.141706333,1.132326211,1.243435367,0.962777919,0.89616949,0.899356597,0.879109157,0.968310013,0.757894572,1.088623784
NXPH2,2.050227613,2.198140713,2.044087667,2.312746549,2.132111956,2.074171402,2.130922648,2.076684173,2.143141427,2.125601936,2.124499874,1.982121972,2.094899031,2.153908021,2.117732872,2.148927445
NXPH3,4.376640256,4.76255865,4.481571034,4.363781644,4.386174873,4.536264606,4.364732684,4.405053264,4.612347129,4.069029508,4.329934231,4.241317526,4.359779597,4.417445391,4.48084344,4.204842722
NXPH4,2.538021613,2.563215076,2.79303425,2.294292576,2.705031796,2.443821174,2.550892242,2.784016964,2.780086658,2.55280058,2.500162862,3.030809745,2.429799667,2.026501042,2.62945156,2.762473364
NXT1,6.034498007,5.993672886,5.870766475,5.877106143,5.406622612,5.860197323,5.584645591,5.802418528,6.110591814,6.091115474,6.246717762,5.832602776,5.873931906,5.668072157,6.075180687,5.922312443
NXT2,5.453864739,5.55661762,5.703825557,5.715127259,5.913163993,5.531316899,5.033059086,5.672489422,5.289033066,5.433958338,5.654992815,5.426579959,5.523681015,5.195809325,5.667558646,4.661541759
NYAP1,2.624120222,2.612706505,2.694065344,2.835742485,2.418741157,2.390729806,2.81010286,2.71337409,2.452851662,2.612706505,2.943142308,2.551750085,2.725428494,2.479266747,2.605063742,2.853975869
NYAP2,1.733816373,1.5879465,1.644856265,2.046809688,1.532934765,1.426135471,1.617202245,1.630361258,1.769912144,1.705825189,1.667096464,1.723667726,1.685129663,1.805560423,1.406646703,1.687403944
NYNRIN,1.979451946,2.427699526,2.219041546,2.230490522,2.28073491,1.923015969,2.109453581,1.877329505,2.525526954,2.017592725,2.014517787,2.153159331,2.599520824,1.653714479,2.168101609,2.145582168
NYX,3.294978299,3.053490337,3.074960407,3.245141967,3.271155175,3.141748956,3.048863825,3.204902967,3.338384728,2.772762112,3.00479936,3.299333621,3.011659402,2.997033698,2.941545573,3.217149604
OAF,4.053550623,4.151886299,4.316815837,4.090432722,4.219165827,4.215384076,4.193170432,4.219278168,4.30695393,4.224044703,3.884220022,4.116956276,4.110898067,4.355181054,4.140612662,4.316260252
OARD1,6.65274899,6.126768519,6.173061324,6.266439638,6.089554125,6.169245961,5.730498292,6.315389124,6.143583368,6.435833744,6.146563037,6.300956547,6.471512707,6.686231603,6.552836941,6.733071851
OAS1,7.244747475,8.676020994,9.695053961,6.374579345,7.902591252,5.899867068,7.348128927,6.201544757,6.906436341,6.144510865,6.625548659,6.059038892,8.612093161,6.908781932,6.238837901,8.042977047
OAS2,5.623067836,6.836393563,7.219550947,4.913458829,6.059653118,4.892309182,5.600121791,5.161102617,5.643247979,5.350744278,5.337810593,5.246809358,6.954353649,5.301244227,5.641671361,6.789560384
OAS3,2.690372038,3.546109102,3.547284975,3.00089838,2.808056128,2.126507803,2.802540327,2.778609871,2.649907463,2.874211722,2.923049798,2.845236953,5.711552632,2.488896789,2.744044342,3.826375295
OASL,6.447679969,8.582108495,9.282587698,6.146904763,7.220255931,7.100452537,6.670326162,6.500661915,6.721848881,6.587053316,6.731206496,6.426814383,8.341468491,6.290954536,6.746533477,8.090430629
OAT,7.893721377,8.054364114,8.123600539,8.773817082,8.480843425,8.339510772,7.841342891,8.405892588,8.384766397,8.276499172,8.267607814,8.240393945,8.132341723,8.211099352,8.186205696,7.182735249
OAZ1,11.84098529,11.75391076,12.01315593,12.19612851,12.15095755,11.99854125,11.94611803,11.61575873,11.78546081,12.04776446,11.95803526,11.98231575,11.79900876,11.99046328,11.66876178,11.85116458
OAZ2,8.999333689,8.284790572,9.149168469,9.057707463,8.844688456,9.312582621,8.735385833,8.13756477,9.302306378,9.021030728,9.037186322,8.905298438,9.061931033,9.092551852,7.837079725,8.722487566
OAZ3,3.328438892,3.451968183,3.394255741,3.478213376,3.662526582,3.335678059,3.290771952,3.085933112,3.230683034,3.129981483,3.214666943,3.273080591,3.199583705,3.066486511,3.479406909,3.060612977
OBI1,4.007423983,3.923877232,3.849067593,3.911607655,3.56727557,3.912556234,4.027628144,3.842775991,4.047410323,4.276309104,4.045669276,4.200873878,3.990502577,4.01687839,4.326750235,4.153766062
OBP2A,3.81503255,3.922469273,3.943854403,3.939050238,3.752829375,3.767526868,3.861339372,4.128239716,3.879913411,3.750790293,3.547857046,3.726107232,3.967049045,3.729075457,3.735565578,4.04171069
OBP2B,2.645677087,3.270949006,2.8338514,2.520165514,2.518222728,2.891700584,2.556672737,2.781858855,2.895295808,2.54462432,3.034629779,2.49262126,2.454665058,2.39210241,2.582448504,2.730253277
OBSCN,2.691956305,2.886314716,2.89476283,2.878486884,2.608929464,2.606243178,2.81434194,2.789976956,2.646816639,2.604272268,2.633928113,2.600044631,2.563418225,2.492412457,2.62565312,2.799011422
OBSCN-AS1,1.491630551,1.629256056,1.955045635,1.523755157,1.553742847,1.486666159,1.424524806,1.611072783,1.53055902,1.436018799,1.542795433,1.370516545,1.258136175,1.38410266,1.530411479,1.368470246
OBSL1,2.485324294,2.710487366,2.572487947,2.490532918,2.675899618,2.57933348,2.740346569,2.675243468,2.576927532,2.454121679,2.410549215,2.55798678,2.601054417,2.534511122,2.507625459,2.474124222
OCA2,2.103518809,2.243734146,1.860418449,1.919464287,2.144765965,2.067573845,2.065285645,2.021789446,2.424488469,1.930337084,2.051538913,1.888939575,2.271647713,1.616636302,2.076248705,1.883993794
OCEL1,5.523349192,5.786522708,5.430020997,5.777389207,5.21360505,6.042947451,5.77077327,5.568162868,5.71393832,5.470467378,5.667864841,5.436396907,5.753030429,5.116833048,5.459680991,5.12996621
OCIAD1,6.888610477,6.710921262,6.857738563,6.889487194,6.869412096,6.657251943,6.679760525,6.714649187,6.850836004,6.934112726,6.913007446,6.863852716,6.919910439,7.111823244,6.993218268,6.836392517
OCIAD2,6.82249874,6.389382115,6.72033434,6.611452214,6.032056271,6.400845997,6.018164302,6.789538879,6.675163533,6.428476428,6.853155123,6.574526141,6.387580273,6.401619316,6.828227332,6.648186092
OCLN,4.271802507,3.094315801,3.259050191,3.142814215,2.735361934,3.555294736,3.690228279,3.267045889,3.041260868,4.460396275,4.354011665,3.319027983,3.505798371,3.879408381,3.60412173,3.654029012
OCM2,3.848756299,3.611224436,2.885168282,3.65266704,3.547360714,3.476506739,3.392111356,3.416446285,3.583886636,3.428663109,3.656483201,3.673189816,3.685749622,3.325423568,3.34459065,3.570231789
OCRL,3.573151277,3.679680779,3.435460335,3.486699735,3.583436723,3.570373583,3.581942635,3.600383904,3.894477537,3.710261672,3.419228839,3.610301861,3.180957005,3.896259047,3.333284999,3.384017564
ODAD1,3.273828717,3.173573907,2.838833086,3.130800218,2.798327433,2.841664209,2.836984591,2.984049353,2.612979689,2.968620381,3.374693869,2.83129328,2.657184354,2.631659221,2.746568468,2.81643572
ODAD2,2.525409708,2.614391604,2.332036574,2.840054881,2.564558401,2.71423952,2.710295626,2.439944834,2.717696351,2.375692299,2.610224808,2.577834656,2.483517414,2.156703502,2.462704296,2.267405027
ODAD3,3.396013933,3.074399317,3.515980154,3.061217372,3.192206098,3.795117554,3.031533034,3.26831684,2.521056766,2.715877496,3.140300683,3.120339402,2.920340349,3.046803848,2.984442134,2.753832009
ODAD4,2.215466487,2.354918498,2.457473509,2.215466487,2.544254508,2.245346422,2.114565796,2.432839574,2.548656587,2.221010721,2.33654097,2.672320598,2.76381165,2.452071218,2.238224865,2.26808223
ODAM,2.013954301,2.047141162,2.024806704,2.010395776,2.028941948,1.906273522,1.705862867,2.052703313,2.147811135,1.747352716,1.933798244,1.880641133,2.043651018,2.084744294,1.807653362,2.083162066
ODAPH,1.416947876,1.312712711,1.562382573,1.198196247,1.520254927,1.215254824,1.284261198,1.581522151,1.077821897,1.063827287,1.135415833,1.254587382,1.287118858,1.242090855,1.303740111,1.354328256
ODC1,8.249309047,8.521793629,8.801615076,9.005410724,9.480803452,8.338067917,8.845945893,8.999700592,8.590236884,9.032260464,8.757695998,9.190370288,8.434268436,8.75567651,9.057864785,8.355617748
ODC1-DT,2.334500796,2.120412022,2.090065951,2.556789304,2.590721032,2.212672157,2.4340424,2.578041148,2.542538405,2.344310778,2.436207695,2.406448199,2.434461753,2.385564714,2.481796608,2.441891517
ODF1,2.521306174,2.395205712,2.26290364,2.926145711,2.555568036,2.571715759,2.772461086,2.315954885,2.498873354,2.286749365,2.496687778,2.17082221,2.374227255,2.845678398,2.386800604,2.355231446
ODF2,4.079586613,3.513510078,3.720775402,3.543237975,3.698326,3.584001643,3.792396014,3.711225561,3.998266463,4.224629467,4.100346481,3.977406613,3.866790433,3.991192303,4.134869266,4.162550564
ODF2L,3.079784409,2.961342181,3.026577632,2.684628952,2.822742517,2.871627078,2.530660915,2.789886975,2.879177281,3.148175349,3.169345656,3.240660982,2.896509949,3.013423081,3.018288088,3.080283687
ODF3,2.716614857,3.192423743,2.972276156,2.886775463,2.92691216,2.859289544,3.057775074,3.061052716,3.030180474,2.891145985,2.847730614,2.708943803,2.765697051,2.865494527,2.997924512,2.819318769
ODF3B,4.555090981,4.779489157,4.920492602,4.377903057,4.521015574,4.446917804,4.62332671,4.673678801,4.661127959,4.524331912,4.470683097,4.644055608,4.907827265,4.397870766,4.527181863,4.661150727
ODF3L1,1.905221372,2.167318037,1.593558661,1.665157773,1.446393969,1.724215537,2.159305234,1.736393857,1.686074751,1.295338794,1.428630934,1.383783204,1.346948756,1.213927391,1.223135132,1.617880406
ODF3L2,4.488045679,4.521512668,4.521512668,4.73316671,4.646671149,4.398181558,4.390661274,4.93277584,4.534859234,4.28120123,4.191179535,4.273630384,3.696032088,4.08671503,4.177352851,4.301906707
ODF4,3.061126848,3.120245893,3.31800422,2.951907773,2.871743796,3.038140442,3.098736166,3.204150849,3.100513242,3.279999709,3.005636413,2.979437696,2.726497147,2.777868895,2.96594254,2.86714643
ODR4,3.216943404,3.359647942,3.390904991,3.161077157,3.394962794,3.282392045,3.370256755,3.488045198,3.446564722,3.497619307,3.155405769,3.365488498,3.482471849,3.480188956,3.346274852,3.301737269
OFCC1,1.910845763,2.133468323,2.054520414,2.05564821,1.955392209,1.915565014,1.991855374,2.111650506,2.13061185,1.911066154,1.902014972,1.933941504,1.947741629,1.981620272,1.992495211,2.005597903
OFD1,5.724268099,5.117130526,5.207872909,5.167237522,4.658614804,4.952352046,5.566800132,5.370399761,5.361308399,5.613909824,5.601126377,6.051155442,5.352745506,5.370883211,5.190921266,6.319098858
OGA,7.144243575,6.816540321,7.200032902,7.192287595,7.11824651,7.219965206,7.55453686,6.446994743,7.723807757,7.70737503,7.36821004,7.279369068,7.340213603,7.526744952,6.956265374,7.014149488
