"genes","GSM399666","GSM399667","GSM399669","GSM399676","GSM399679","GSM399682","GSM399685","GSM399689","GSM399717","GSM399718","GSM399719","GSM399761","GSM399762","GSM399763","GSM399765","GSM399766","GSM1924651","GSM1924653","GSM1924657","GSM1924664","GSM1924667","GSM1924668","GSM1924674","GSM1924675","GSM1924676","GSM1924677","GSM1924680","GSM1924681","GSM1924682","GSM1924684","GSM1924685","GSM1924686","GSM1924687","GSM1924688","GSM1924689","GSM1924690","GSM1924691","GSM1924692","GSM1924693","GSM1924694","GSM1924695","GSM1924696","GSM1924697","GSM1924698"
"CD160","7.58828417800569","5.72054686793122","4.60112828599664","4.11337640915074","4.06516355819512","5.28411395057549","6.86449674913078","6.2136790552276","6.49428958910295","6.47759059080346","6.32229811151159","6.98450085235097","6.70129302287612","6.07167112023151","6.08660840247001","6.36676209851657","4.8370493934944","5.34710667563549","4.69155497326968","5.08973137712174","5.42874612268368","5.8543959593437","6.04653971165447","5.03196247319187","5.78787926195901","4.89804892346862","6.07744359505531","5.14840816592832","5.68882656344227","5.19333074467971","6.88910962144975","7.56529803495972","6.93952057393854","5.48612775303191","6.70516647809414","6.22763370036242","7.86801855770307","6.54183270251119","6.65054206971386","6.22624908608893","6.40671499439297","6.34377260734066","6.5890673722061","5.71762026684686"
"CEACAM5","3.80605612726687","4.22293197390337","3.42102729307164","3.89966161184056","4.08147387582256","3.92111705005885","3.82774448707147","4.09143797389282","4.05147588449852","3.54676756827785","3.39746202334092","3.43979305985906","3.63922558657609","3.70528748882534","3.76232599866427","3.77168408833295","4.1463254144107","3.79140407420407","4.05574173618838","4.13605898128883","3.85774242889704","3.90982120292339","3.72331382848217","2.75899036217302","3.78552370433957","3.99483331945163","4.0030733472547","3.68251492275143","3.63105760971489","3.64366319892217","3.44233671458674","4.0037877116235","4.17916879371499","3.98310520938285","4.06502621843195","3.67488699712546","3.83968591279152","3.1153136438763","3.46829937407188","3.85734396990125","3.68172126613753","3.93588491923175","3.87021438544772","3.78590772273853"
"CEACAM8","5.42418993291794","7.9176031575145","6.4041006960214","7.68557999965124","7.33577118857481","8.93645714774089","4.54390082217405","6.72955051221091","4.53300949339381","4.57838442287512","4.32009063778548","5.82699080647266","4.38778374479951","6.08351338097016","3.99127500786526","3.50718033861411","7.44944683052133","5.79111548340131","5.54481846584665","6.28444503779826","4.71817475712658","5.55658265773248","6.26933489414611","9.29150036366429","6.07996708114784","6.43143694006065","5.55001056390446","4.2302164285844","5.55001056390446","6.34868404798978","4.70966594611571","3.91662448598849","6.19597934517565","5.90533450663253","5.44591806876813","5.21606886665752","4.37171992944292","5.82336425944525","5.14984751086479","5.10379181952371","5.84515940228182","5.61609634055727","4.7916438900904","7.11312128306654"
"CFL1","9.89753775605903","10.2440253131006","9.95319774579289","9.84493197775698","9.48495748653918","10.0819598057024","9.94343459047781","9.67101088727208","10.0496422464905","9.79750101155823","9.93839849203805","9.63219628117714","9.60193272756981","9.85600538876343","9.61785065855101","9.79994420253515","9.86649966369874","9.78831640097105","10.0372039119458","10.4045757535431","9.89396219043891","9.78112103702201","10.041870078251","9.7684985401025","10.1324310546818","10.3651975996428","9.9605847665129","10.0542150291633","9.9432261928987","9.87024012487679","9.85106791375019","9.74425304471235","9.64054348247387","9.96560887577327","9.61655794983557","9.63186646731418","9.43883716383728","9.42561178225917","9.30989717976161","9.68864592469272","10.017086792347","10.0238413950634","9.82343919575037","9.87439533780509"
"CLEC12A","6.94506493034556","7.50726061807451","8.72753864812382","8.89989260970892","8.09637374473898","7.66686780977269","8.04923192768955","8.40111521672475","7.72038723354819","7.07966485390416","5.21222029702346","6.63441221513283","7.43292271808405","6.93974508082216","6.64960194859293","5.07336102577932","8.74906658505958","8.80734674320439","7.41856938670168","8.18389734264836","7.19407833683818","8.78103308286474","8.45986704841015","6.58534361402006","6.87429853830508","8.93811690278264","6.72279717646773","8.03172545465631","6.21690063349395","6.97334467595069","5.8118104487335","5.81907098508826","7.77476115476466","6.04521640248392","8.41732651901437","7.2344190042584","6.42978212436983","7.83068289995515","6.53092907468711","8.20654988475","6.58500642002714","6.47349271444288","6.93380700656994","6.1806489477917"
"CLEC1B","4.76753305086674","7.13183295782033","6.09164946211668","7.15550534266127","6.85569972354739","5.95288148797902","6.42629845456412","6.9408819556004","5.47687294676698","5.11510251822443","5.750130641073","7.02596992315671","5.64755846472733","6.02881002355738","6.09471619613738","4.66216784851318","6.37299272839598","7.00602577251773","5.95557340702464","7.74897235509189","6.31090007211824","5.56835491120678","6.96130695272109","6.34443472678386","6.38688643679324","6.62774906584501","6.26539517614107","6.42922776614791","5.49873331582585","5.52483054780144","6.27116746844407","5.4998194511078","5.50561445329244","6.34523037469904","6.22387708336599","4.62683431555087","5.64396076548888","5.176581242179","5.93918281425157","5.09887735821421","4.81366349151394","6.52189240231674","6.20177580941121","6.4641130550617"
"CTDSPL","4.68451348358375","5.81984872325055","5.5281922497947","5.66071686260547","6.67952777348391","5.09314623041065","5.68320142378952","5.8316945347641","5.09975358717474","5.55219691939827","5.01098021261665","5.5455884535193","4.96813157613781","5.02194942152869","5.07764306219478","4.70831115494346","5.94487024420882","5.86053423827126","6.1365707698613","6.8709897540819","5.6113086698118","4.9076471801016","5.02604578451569","5.76795556148431","5.33283425528092","5.92007273021194","5.25323938311488","5.23541651500779","5.07794459275694","5.79287694661931","5.85915091288272","5.17096991672406","4.60108214536112","5.88156841592398","5.04038156826957","4.52457533574782","4.28342478918756","4.91339278576261","4.55514849494021","4.94394203532344","4.77928808541282","6.10357688773802","5.01767926200504","5.8764792685103"
"DEFA4","5.51830268470192","8.52062639892707","7.5594007468769","8.22352383786783","8.27267981063526","9.38824710346148","4.72380413560579","7.61118877339602","5.11976910457101","4.79686095986565","4.71557425824315","5.94881158528002","5.71773320797204","7.11566043416872","5.46656634739681","4.77592959266756","7.41067304786987","7.15735747779597","7.04747334300615","7.42720678146803","4.7643404807163","5.62166159141809","7.01637678288926","10.3883654205763","7.33487607644957","7.45769513189607","6.6515097059244","5.10278802229857","5.90206723667425","6.92639354506209","4.42053527954201","4.67623034769795","7.03911115054655","6.61107092106103","6.6872990283109","5.90132698559281","4.94453238557795","6.41138799946111","6.19088663122187","5.59255224678536","5.63596374431552","6.11376255797488","6.02048243291468","7.54949430030508"
"DPP4","5.27921190431644","5.23227338627542","4.9040154752724","5.01489871976199","4.72959416137627","4.57412032910876","4.50119164614456","4.86265051426716","5.18826354417926","4.91061910248486","5.29124497385421","5.45823538945016","4.6482908670027","4.75281347708019","4.90504414341755","4.91221045689782","4.45667452995919","4.91936535438853","4.78980398888293","4.90317538420827","4.74824308941252","5.07917972900838","5.0730624866137","4.91581602607682","4.63586943322744","4.76370590453474","5.07937804652477","4.75040039631104","4.81553168301337","4.69771551273284","5.20676353846753","4.88866095921138","4.67517902641262","4.74950922785926","5.22387450557552","5.11414430916756","5.09737134769235","5.34489381152013","5.08293526419527","5.12096219951428","4.83971349309573","5.21620898904312","5.04818586676374","5.30559162240633"
"ELANE","4.76534507222554","7.03226557083256","5.78893799562056","7.03337956346091","6.10697838440388","8.2912334902999","4.50697859999918","5.81416984830559","4.7591814401644","4.00647430427903","4.60182716491514","5.0260612136095","4.26867592754207","4.91264925860858","4.78504831820399","4.2031861500341","7.32214758820003","5.69941360378423","5.74847935613634","6.70093486116458","4.22734524601623","4.71243613099267","5.5057039889235","9.31451295759281","5.93578098184586","5.80302586630956","5.64086524267339","3.5993681081822","5.04823481232322","6.14010949953776","4.57050356342473","4.2389763918461","5.10032252253384","5.5408787577923","4.72840825968888","5.3085727823823","4.33770734028981","4.85876063210737","4.46360421879146","4.61687904133705","4.76093001811456","5.06577157943252","4.63467912185372","6.2690004263645"
"ESAM","4.6229289324085","5.44684489788388","5.22510236268371","5.45189330896663","5.87468539255656","5.14222438186781","5.50456429062208","6.38715092283429","4.95451143962546","5.23471334792142","4.80544596467129","5.06358892950538","4.85247961443966","5.45978333968548","4.66404163650753","4.6293068275863","5.22919661159539","5.36037428137541","5.65647229998371","6.51060288968067","5.52243451207926","4.7608146100084","5.14726871439441","5.87310063475176","5.00215639833135","6.09245837740658","5.15017127100017","5.95250157001463","4.92689947453833","5.35055196033773","5.17736199913935","5.16829348963471","4.4784635662967","5.68978615179204","4.84292853104389","4.72730796881057","4.20139509213508","5.27908022615551","4.70305184220689","4.52401765201226","4.4613830588832","5.61005368653269","4.7675594491067","5.54365597084182"
"F13A1","6.59186376986181","7.88019150207591","7.35558064588729","8.98314020409572","9.27836946469893","7.81452356943417","8.96231976173922","8.50830293200561","7.42345058491962","8.11367807451797","7.48650688027443","8.39418868162674","7.59442663938763","7.9395617505379","8.10121443674823","6.99242693395585","7.71029825871015","8.00953659028633","8.15225248547762","9.24203813745033","8.79058337297949","7.67494259505763","7.89084147488333","8.28777777542221","8.72305666823937","9.41024569780511","8.65845543961232","8.57133232843329","7.89903277585518","8.01285954368705","7.93384335899903","7.33064947731737","7.05562351563819","7.50614382003661","7.83465486513203","6.40864346824382","6.9238907561571","7.04784097568267","7.36496617369512","7.07892077752589","8.01562836002296","8.49955485132717","7.56257028203722","8.70326584019771"
